facility_id,facility_name,line_name,station_code,station_name,station_number,data_date,direction,exit_number_or_inside,start_floor_type,start_floor,start_floor_detail,end_floor_type,end_floor,end_floor_detail,width_mm,operating_status
1143614,승강기)에스컬레이터-시청(2) 내부화장실 근접 5호기,2호선,0201,시청,201,20210527,하행,내부,지하,B1,환승통로(1호선 방면 내부화장실 근접),지하,B2,환승통로(1호선 방면 내부화장실 근접),1200,M
1041674,승강기)에스컬레이터-충정로(2) 내부 1호기,2호선,0243,충정로,243,20210527,하행,내부,지하,B2,"시청 방면7-1, 아현 방면4-4",지하,B3,"시청 방면7-1, 아현 방면4-4",1200,M
1143615,승강기)에스컬레이터-시청(2) 내부화장실 근접 6호기,2호선,0201,시청,201,20210527,상행,내부,지하,B2,환승통로(1호선 방면 내부화장실 근접),지하,B1,환승통로(1호선 방면 내부화장실 근접),1200,M
1041675,승강기)에스컬레이터-충정로(2) 내부 2호기,2호선,0243,충정로,243,20210527,상행,내부,지하,B3,"아현 방면4-4, 시청 방면7-1",지하,B2,"아현 방면4-4, 시청 방면7-1",1200,M
1143984,승강기)에스컬레이터-문래 1번출구 하행1,2호선,0235,문래,235,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,800,M
1143985,승강기)에스컬레이터-문래 1번출구 상행2,2호선,0235,문래,235,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,800,M
1041682,승강기)에스컬레이터-영등포구청 1번출구 하행1,2호선,0236,영등포구청,236,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,800,M
1041683,승강기)에스컬레이터-영등포구청 1번출구 상행2,2호선,0236,영등포구청,236,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,800,M
1143987,승강기)에스컬레이터-구의 2번출구 하행5,2호선,0213,구의,213,20210527,하행,2,지상,1,2번 출입구,지상,2,2번 출입구,1200,M
1041688,승강기)에스컬레이터-교대(2) 6번출구 1호기,2호선,0223,교대,223,20210527,하행,6,지상,1,6번 출입구,지하,B1,6번 출입구,800,M
1041689,승강기)에스컬레이터-교대(2) 6번출구 2호기,2호선,0223,교대,223,20210527,상행,6,지하,B1,6번 출입구,지상,1,6번 출입구,800,M
1143993,승강기)에스컬레이터-문래 2번출구 하행3,2호선,0235,문래,235,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,800,M
1143994,승강기)에스컬레이터-문래 2번출구 상행4,2호선,0235,문래,235,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,800,M
1143995,승강기)에스컬레이터-구의 2번출구 상행6,2호선,0213,구의,213,20210527,상행,2,지상,1,2번 출입구,지상,2,2번 출입구,1200,M
1041694,승강기)에스컬레이터-왕십리 3번출구 하행1,2호선,0208,왕십리,208,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1041695,승강기)에스컬레이터-왕십리 3번출구 상행2,2호선,0208,왕십리,208,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,M
1041696,승강기)에스컬레이터-합정(2) 2번출구 3호기,2호선,0238,합정,238,20210527,하행,2,지상,1,2번 출입구,지하,B2,2번 출입구,1200,M
1041697,승강기)에스컬레이터-합정(2) 2번출구 4호기,2호선,0238,합정,238,20210527,상행,2,지하,B2,2번 출입구,지상,1,2번 출입구,1200,M
1041702,승강기)에스컬레이터-잠실 5번출구 하행1,2호선,0216,잠실,216,20210527,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,M
1779320,승강기)에스컬레이터-강변역 내부 1호기,2호선,0214,강변,214,20220511,하행,내부,지상,1,잠실나루 방면9-1,지하,B2,잠실나루 방면9-1,800형,M
1041703,승강기)에스컬레이터-잠실 5번출구 상행2,2호선,0216,잠실,216,20210527,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,M
1779321,승강기)에스컬레이터-강변역 내부 2호기,2호선,0214,강변,214,20220511,상행,내부,지상,2,잠실나루 방면9-1,지상,3,잠실나루 방면9-1,800형,M
1041704,승강기)에스컬레이터-삼성 3번 출입구 1호기,2호선,0219,삼성,219,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1041705,승강기)에스컬레이터-삼성 3번 출입구 2호기,2호선,0219,삼성,219,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,M
1041706,승강기)에스컬레이터-선릉 4번출구 하행1,2호선,0220,선릉,220,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1145414,승강기)에스컬레이터-서초 3번출구 하행 3,2호선,0224,서초,224,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1041707,승강기)에스컬레이터-선릉 4번출구 상행2,2호선,0220,선릉,220,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1145415,승강기)에스컬레이터-서초 3번출구 상행 4,2호선,0224,서초,224,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,S
1041708,승강기)에스컬레이터-역삼 3번출구 9호기,2호선,0221,역삼,221,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1145416,승강기)에스컬레이터-서초 4번출구 하행 5,2호선,0224,서초,224,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1477423,승강기)에스컬레이터-아현 1번출구 1호기,2호선,0242,아현,242,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1041709,승강기)에스컬레이터-역삼 3번출구 10호기,2호선,0221,역삼,221,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,M
1145417,승강기)에스컬레이터-서초 4번출구 상행 6,2호선,0224,서초,224,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1477424,승강기)에스컬레이터-아현 1번출구 2호기,2호선,0242,아현,242,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1041710,승강기)에스컬레이터-역삼 4번출구 11호기,2호선,0221,역삼,221,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1145418,"승강기)에스컬레이터-서초 3,4번출구 하행7",2호선,0224,서초,224,20210527,하행,"3,4",지상,1,"3,4번 출입구",지하,B1,"3,4번 출입구",1200,M
1041711,승강기)에스컬레이터-역삼 4번출구 12호기,2호선,0221,역삼,221,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1145419,"승강기)에스컬레이터-서초 3,4번출구 상행8",2호선,0224,서초,224,20210527,상행,"3,4",지하,B1,"3,4번 출입구",지상,1,"3,4번 출입구",1200,M
1041712,승강기)에스컬레이터-낙성대 4번출구 하행1,2호선,0227,낙성대,227,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,800,M
1146219,승강기)에스컬레이터-방배 4번출구 1호기,2호선,0225,방배,225,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1041713,승강기)에스컬레이터-낙성대 4번출구 상행2,2호선,0227,낙성대,227,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,800,M
1146220,승강기)에스컬레이터-방배 4번출구 2호기,2호선,0225,방배,225,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1041716,승강기)에스컬레이터-종합운동장 4번출구 1호기,2호선,0218,종합운동장,218,20210527,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1041717,승강기)에스컬레이터-종합운동장 4번출구 2호기,2호선,0218,종합운동장,218,20210527,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1146227,승강기)에스컬레이터-을지로4가(2) 5번 출입구 2,2호선,0204,을지로4가,204,20210527,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,M
1146228,승강기)에스컬레이터-을지로4가(2) 5번 출입구 1,2호선,0204,을지로4가,204,20210527,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,M
1148663,승강기)에스컬레이터-서울대입구 3번출구 5호기,2호선,0228,서울대입구,228,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,M
1041726,승강기)에스컬레이터-홍대입구 내선(7-3) 1호기,2호선,0239,홍대입구,239,20210527,하행,내부,지하,B2,"신촌 방면7-3, 합정 방면4-2",지하,B3,"신촌 방면7-3, 합정 방면4-2",1200,M
1148876,승강기)에스컬레이터-잠실새내 1번출구 상행1,2호선,0217,잠실새내,217,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1497811,승강기)에스컬레이터-대림 8번출구 하행3,2호선,0233,대림,233,20210527,하행,8,지상,2,8번 출입구,지상,1,8번 출입구,1200,M
1041727,승강기)에스컬레이터-홍대입구 외선(4-1) 2호기,2호선,0239,홍대입구,239,20210527,상행,내부,지하,B3,"합정 방면4-1, 신촌 방면7-4",지하,B2,"합정 방면4-1, 신촌 방면7-4",1200,M
1148877,승강기)에스컬레이터-잠실새내 2번출구 하행2,2호선,0217,잠실새내,217,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,M
1497812,승강기)에스컬레이터-대림 8번출구 상행4,2호선,0233,대림,233,20210527,상행,8,지상,1,8번 출입구,지상,2,8번 출입구,1200,M
1041728,승강기)에스컬레이터-서초 6번출구 하행 1,2호선,0224,서초,224,20210527,하행,6,지상,1,6번 출입구,지하,B1,6번 출입구,1200,M
1148878,승강기)에스컬레이터-잠실새내 2번출구 상행3,2호선,0217,잠실새내,217,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,M
1497813,승강기)에스컬레이터-성수 1번출구 1호기,2호선,0211,성수,211,20210527,하행,1,지상,1,1번 출입구,지상,2,1번 출입구,1200,M
1041729,승강기)에스컬레이터-서초 6번출구 상행 2,2호선,0224,서초,224,20210527,상행,6,지하,B1,6번 출입구,지상,1,6번 출입구,1200,M
1148879,승강기)에스컬레이터-잠실새내 5번출구 하행4,2호선,0217,잠실새내,217,20210527,하행,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,M
1497814,승강기)에스컬레이터-성수 1번출구 2호기,2호선,0211,성수,211,20210527,상행,1,지상,2,1번 출입구,지상,1,1번 출입구,1200,M
1148880,승강기)에스컬레이터-잠실새내 5번출구 상행5,2호선,0217,잠실새내,217,20210527,상행,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,M
1497815,승강기)에스컬레이터-성수 2번출구 3호기,2호선,0211,성수,211,20210527,하행,2,지상,1,2번 출입구,지상,2,2번 출입구,1200,M
1148881,승강기)에스컬레이터-잠실새내 6번출구 하행6,2호선,0217,잠실새내,217,20210527,하행,6,지상,1,6번 출입구,지하,B1,6번 출입구,1200,M
1497816,승강기)에스컬레이터-성수 2번출구 4호기,2호선,0211,성수,211,20210527,상행,2,지상,2,2번 출입구,지상,1,2번 출입구,1200,M
1148882,승강기)에스컬레이터-잠실새내 6번출구 상행7,2호선,0217,잠실새내,217,20210527,상행,6,지하,B1,6번 출입구,지상,1,6번 출입구,1200,M
1498896,승강기)에스컬레이터-뚝섬 3번 출구 7호기,2호선,0210,뚝섬,210,20210527,하행,3,지상,1,3번 출입구,지상,2,3번 출입구,800,M
1148883,승강기)에스컬레이터-잠실새내 7번출구 하행8,2호선,0217,잠실새내,217,20210527,하행,7,지상,1,7번 출입구,지하,B1,7번 출입구,1200,M
1498897,승강기)에스컬레이터-뚝섬 3번 출구 8호기,2호선,0210,뚝섬,210,20210527,상행,3,지상,2,3번 출입구,지상,1,3번 출입구,800,M
1148884,승강기)에스컬레이터-잠실새내 7번출구 상행9,2호선,0217,잠실새내,217,20210527,상행,7,지하,B1,7번 출입구,지상,1,7번 출입구,1200,M
1148885,승강기)에스컬레이터-잠실새내 8번출구 하행10,2호선,0217,잠실새내,217,20210527,하행,8,지상,1,8번 출입구,지하,B1,8번 출입구,1200,M
1148886,승강기)에스컬레이터-잠실새내 8번출구 상행11,2호선,0217,잠실새내,217,20210527,상행,8,지하,B1,8번 출입구,지상,1,8번 출입구,1200,M
1500039,승강기)에스컬레이터-종합운동장 1번출구 4호기,2호선,0218,종합운동장,218,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1500040,승강기)에스컬레이터-종합운동장 1번출구 5호기,2호선,0218,종합운동장,218,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1500041,승강기)에스컬레이터-삼성 7번 출입구 3호기,2호선,0219,삼성,219,20210527,하행,7,지상,1,7번 출입구,지하,B1,7번 출입구,1200,M
1500042,승강기)에스컬레이터-삼성 7번 출입구 4호기,2호선,0219,삼성,219,20210527,상행,7,지하,B1,7번 출입구,지상,1,7번 출입구,1200,M
1500043,승강기)에스컬레이터-신림 4번출구 4호기,2호선,0230,신림,230,20210527,하행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,M
1500044,승강기)에스컬레이터-신림 4번출구 5호기,2호선,0230,신림,230,20210527,상행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,M
1500045,승강기)에스컬레이터-양천구청 1번 출입구 1호기,2호선,0248,양천구청,234-2,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,M
1061495,승강기)에스컬레이터-사당(2) 외선(3-3) 1호기,2호선,0226,사당,226,20210527,하행,내부,지하,B1,방배 방면3-3,지하,B2,방배 방면3-3,1200,M
1500046,승강기)에스컬레이터-양천구청 1번 출입구 2호기,2호선,0248,양천구청,234-2,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,M
1061496,승강기)에스컬레이터-사당(2) 외선(3-3) 2호기,2호선,0226,사당,226,20210527,상행,내부,지하,B2,방배 방면3-3,지하,B1,방배 방면3-3,1200,M
1500047,승강기)에스컬레이터-신정네거리 2번출구 3호기,2호선,0249,신정네거리,234-3,20210527,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,800,M
1061497,승강기)에스컬레이터-사당(2) 외선(8-1) 3호기,2호선,0226,사당,226,20210527,하행,내부,지하,B1,방배 방면8-1,지하,B2,방배 방면8-1,1200,M
1500048,승강기)에스컬레이터-신정네거리 2번출구 4호기,2호선,0249,신정네거리,234-3,20210527,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,800,S
1061498,승강기)에스컬레이터-사당(2) 외선(8-1) 4호기,2호선,0226,사당,226,20210527,상행,내부,지하,B2,방배 방면8-1,지하,B1,방배 방면8-1,1200,M
1061499,승강기)에스컬레이터-사당(2) 내선(3-3) 6호기,2호선,0226,사당,226,20210527,상행,내부,지하,B2,낙성대 방면3-3,지하,B1,낙성대 방면3-3,1200,M
1153335,승강기)에스컬레이터-낙성대 1번출구 하행3,2호선,0227,낙성대,227,20210527,하행,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,M
1061500,승강기)에스컬레이터-사당(2) 내선(3-3) 5호기,2호선,0226,사당,226,20210527,하행,내부,지하,B1,낙성대 방면3-3,지하,B2,낙성대 방면3-3,1200,M
1153336,승강기)에스컬레이터-낙성대 1번출구 상행4,2호선,0227,낙성대,227,20210527,상행,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,M
1781384,승강기)에스컬레이터-봉천 4번출구 7호기,2호선,0229,봉천,229,20220830,하행,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200형,M
1061501,승강기)에스컬레이터-사당(2) 내선(8-1) 7호기,2호선,0226,사당,226,20210527,하행,내부,지하,B1,낙성대 방면8-1,지하,B2,낙성대 방면8-1,1200,M
1153337,승강기)에스컬레이터-대림 5번출구 하행5,2호선,0233,대림,233,20210527,하행,5,지상,2,5번 출입구,지상,1,5번 출입구,1200,M
1781385,승강기)에스컬레이터-봉천 4번출구 8호기,2호선,0229,봉천,229,20220830,상행,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200형,M
1061502,승강기)에스컬레이터-사당(2) 내선(8-1) 8호기,2호선,0226,사당,226,20210527,상행,내부,지하,B2,낙성대 방면8-1,지하,B1,낙성대 방면8-1,1200,M
1153338,승강기)에스컬레이터-대림 5번출구 상행6,2호선,0233,대림,233,20210527,상행,5,지상,1,5번 출입구,지상,2,5번 출입구,1200,M
1781386,승강기)에스컬레이터-역삼 2번출구 13호기,2호선,0221,역삼,221,20220830,하행,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200형,M
1781387,승강기)에스컬레이터-역삼 2번출구 14호기,2호선,0221,역삼,221,20220830,상행,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200형,M
